model,mean_absolute_error,root_mean_squared_error,relative_frobenius_error,pearson_correlation,cosine_similarity,visual_similarity,js_divergence,mean_mi,real_mean_mi,mean_gap,std_mi,real_std_mi,std_gap,mad_mi,real_mad_mi,mad_gap,mean_gap_score,std_gap_score,mad_gap_score,rmse_score,pearson_score,visual_similarity_score,moment_fidelity_score
Ours,0.009539970149091562,0.015085943948428179,0.5675989105641055,0.7996498156631325,0.8482104931882518,0.7234251952119269,0.07287643288949773,0.016162056870412726,0.012557886614582615,0.003604170255830111,0.022824242825004226,0.02342472354020096,0.0006004807151967322,0.007673439779699181,0.003305543125302601,0.00436789665439658,1.0,1.0,0.36825634822447817,0.8177872305123977,0.752049776841778,0.89896727944593,1.0
TabPFN,0.005673703231098854,0.012050495364001886,0.4533921154518094,0.8807817232886586,0.8913586847110424,0.7614432299221962,0.06244050899068254,0.008225263732394024,0.012557886614582615,0.004332622882188591,0.022477979973146905,0.02342472354020096,0.0009467435670540529,0.0007352672351492121,0.003305543125302601,0.002570275890153389,0.9156759677931154,0.9769210902002103,0.7412824506669873,0.9833746270531261,0.9642212045219755,0.9959765440094234,0.9462985289966629
GReaT,0.0058485129013731455,0.011745729024102732,0.4419254784886386,0.8944631221528403,0.8976523262648086,0.7630200266353067,0.061778882505395524,0.007309247514066019,0.012557886614582615,0.005248639100516595,0.02179259491142328,0.02342472354020096,0.0016321286287776793,0.0004920262577180806,0.003305543125302601,0.00281351686758452,0.809639997434341,0.9312392045090455,0.6908072694884692,1.0,1.0,1.0,0.8704396009716933
XGB,0.014206109603562288,0.029553568597584602,1.1119339563115864,0.5284125098723973,0.6423397318121106,0.5457681315589908,0.07168348014924504,0.019781149752542304,0.012557886614582615,0.007223263137959689,0.033011216302472196,0.02342472354020096,0.009586492762271238,0.004629053612954931,0.003305543125302601,0.00132351048765233,0.5810619747807454,0.4010695620917748,1.0,0.028560784024895702,0.04272581178263068,0.4456460801566411,0.4910657684362601
Copula,0.008891715077092913,0.022247904538515037,0.8370630582722711,0.5120746520718696,0.617622402661895,0.37111895531663786,0.07752292701463827,0.004030812431321639,0.012557886614582615,0.008527074183260975,0.007820810909841746,0.02342472354020096,0.015603912630359212,0.0008905959294750177,0.003305543125302601,0.002414947195827583,0.4301357503462503,0.0,0.7735148650862949,0.42709360640546024,0.0,0.0,0.21506787517312514
TVAE,0.017509373070364286,0.030077127716512785,1.1316325304634878,0.5716836752936164,0.686617604449692,0.5568859309396406,0.10548005508180891,0.02480078781453148,0.012557886614582615,0.012242901199948867,0.03302213161659524,0.02342472354020096,0.009597408076394285,0.009448074996372038,0.003305543125302601,0.006142531871069437,0.0,0.4003420409362973,0.0,0.0,0.15588603706885978,0.4740149727019984,0.20017102046814866
