tsne_1,tsne_2,dataset_source
15.43567,22.81247,Real Data
-24.926193,12.259353,Real Data
-24.998419,16.211424,Real Data
7.585051,-25.41715,Real Data
-16.045687,21.353354,Real Data
5.9800677,-40.080467,Real Data
-69.06893,-37.109818,Real Data
41.364395,6.4529614,Real Data
-29.895906,4.146525,Real Data
32.830563,32.564228,Real Data
-7.431721,-39.191406,Real Data
-35.760803,-26.18297,Real Data
-23.391335,43.26133,Real Data
16.303785,-17.491325,Real Data
7.6524706,-44.31128,Real Data
52.752625,-16.511396,Real Data
-0.31487352,9.649884,Real Data
23.760914,29.975441,Real Data
-41.13005,11.107251,Real Data
41.065575,-3.7494516,Real Data
-11.281388,-15.563906,Real Data
-20.740055,-30.450962,Real Data
-16.92685,53.432266,Real Data
-25.87399,-12.772864,Real Data
13.825745,21.362692,Real Data
-0.92194444,-24.576063,Real Data
-16.805025,-39.76381,Real Data
-69.35609,-28.643478,Real Data
47.81215,3.154457,Real Data
-2.1246333,46.400272,Real Data
48.110245,12.149067,Real Data
20.071178,-7.290196,Real Data
-29.398706,-5.703528,Real Data
81.19342,3.3776944,Real Data
49.029514,-21.557144,Real Data
-36.561676,5.0080895,Real Data
67.269485,25.21604,Real Data
-2.53093,-3.33605,Real Data
-10.238928,21.19172,Real Data
2.7634304,-20.928755,Real Data
10.705609,-27.707413,Real Data
-2.6738095,25.010952,Real Data
15.2560425,-33.262157,Real Data
-52.864616,-41.60325,Real Data
-43.347588,32.30685,Real Data
-2.5957613,7.0556483,Real Data
-10.611215,-50.584373,Real Data
2.4083169,51.850235,Real Data
4.0383058,-62.87019,Real Data
5.130389,6.871294,Real Data
18.115795,-42.568413,Real Data
-7.2062674,33.967743,Real Data
-9.267853,6.164935,Real Data
-32.504,-42.975964,Real Data
-56.36226,-35.31349,Real Data
-15.434425,-15.368882,Real Data
24.887583,-12.492422,Real Data
-22.503073,-38.792095,Real Data
-13.428555,-39.842274,Real Data
-5.280464,6.8164577,Real Data
-41.25271,-36.758507,Real Data
10.201862,3.160451,Real Data
-39.833965,-2.1801157,Real Data
33.502243,5.003865,Real Data
13.626658,31.518097,Real Data
-49.31213,14.871584,Real Data
51.86983,25.831276,Real Data
25.760036,23.391111,Real Data
-68.56301,-20.88894,Real Data
44.53551,10.092983,Real Data
-22.737886,-16.020266,Real Data
30.715504,-6.4693756,Real Data
-18.455395,-19.956686,Real Data
53.159046,-1.911336,Real Data
5.1580396,24.373125,Real Data
-2.1179035,-15.679951,Real Data
7.346779,49.483326,Real Data
8.00641,64.32082,Real Data
-6.912629,41.071526,Real Data
-56.97752,-43.85335,Real Data
-3.4103534,37.478752,Real Data
11.393763,47.11858,Real Data
34.50034,10.544245,Real Data
32.6793,20.023243,Real Data
0.99333084,-53.313477,Real Data
25.758406,23.38471,Real Data
53.431908,-18.552496,Real Data
-7.739565,11.966444,Real Data
9.573396,11.459416,Real Data
-38.900723,-41.99907,Real Data
-29.040194,2.978414,Real Data
21.197773,46.012936,Real Data
21.55855,32.848217,Real Data
9.290234,-9.06138,Real Data
-47.95571,-33.73134,Real Data
41.137154,16.268589,Real Data
37.06203,-14.62659,Real Data
-27.820662,24.793865,Real Data
-31.066292,31.099022,Real Data
-20.272163,-13.850496,Real Data
-50.355682,-43.068558,Real Data
20.190105,-18.420122,Real Data
28.072245,-15.889217,Real Data
46.792667,-1.2401448,Real Data
33.1152,42.014095,Real Data
57.65443,-4.7654624,Real Data
-10.331167,-55.42469,Real Data
28.760601,35.624584,Real Data
1.558033,-55.833984,Real Data
-33.06315,-14.786055,Real Data
5.1071196,16.474909,Real Data
-36.823177,-20.353292,Real Data
14.85298,10.664593,Real Data
-28.057041,-16.876474,Real Data
14.740067,39.04189,Real Data
41.27673,-0.74845,Real Data
-12.627302,-5.7349076,Real Data
54.922565,-6.868581,Real Data
-15.140207,-23.304234,Real Data
-21.786325,-12.068342,Real Data
-56.069607,-35.88722,Real Data
15.494955,-46.667725,Real Data
-41.668095,15.282536,Real Data
14.919221,11.983024,Real Data
-60.460285,-30.395067,Real Data
3.1400492,47.394463,Real Data
-55.378765,-46.593945,Real Data
-21.684729,31.840984,Real Data
25.146887,41.771816,Real Data
-3.4051158,21.576057,Real Data
18.160202,27.750805,Real Data
51.88077,15.033103,Real Data
-68.92481,-17.970837,Real Data
40.94475,33.03647,Real Data
-42.115105,-34.66414,Real Data
16.008747,16.959747,Real Data
-66.64554,-11.367376,Real Data
30.042906,30.135136,Real Data
20.03789,20.291443,Real Data
-13.008199,24.628004,Real Data
47.812527,15.676344,Real Data
15.086324,15.096362,Real Data
29.632984,26.965025,Real Data
-10.086635,30.727571,Real Data
-20.320717,-21.651552,Real Data
52.6129,14.049273,Real Data
-72.78902,-25.833897,Real Data
0.5044765,-10.349209,Real Data
-39.408794,8.587762,Real Data
14.708401,18.072212,Real Data
-6.9024878,9.012421,Real Data
15.434537,22.811386,Real Data
12.251873,38.77059,Real Data
-17.315287,-36.15324,Real Data
10.956252,-49.869205,Real Data
-18.12266,34.29246,Real Data
41.535652,-16.393255,Real Data
-6.9107294,-49.55932,Real Data
48.920197,11.604829,Real Data
25.16477,36.51293,Real Data
-13.781991,-17.49738,Real Data
11.906358,-9.017634,Real Data
-21.711773,-46.397175,Real Data
-38.189003,-9.928638,Real Data
43.39084,-13.534652,Real Data
-74.984924,-18.58345,Real Data
-25.70676,38.60493,Real Data
4.0756736,34.059532,Real Data
53.379875,-28.660776,Real Data
18.040655,-9.161985,Real Data
9.110062,-20.067932,Real Data
26.618845,-20.335436,Real Data
36.232315,16.4409,Real Data
12.20806,50.00467,Real Data
-54.22114,-36.759247,Real Data
-13.609324,10.709954,Real Data
-15.640196,-30.859276,Real Data
26.029182,29.674698,Real Data
4.0158057,18.206318,Real Data
22.562033,53.87325,Real Data
55.666607,-5.290753,Real Data
-41.60789,13.794756,Real Data
0.5499335,-62.040813,Real Data
30.00287,26.203325,Real Data
3.8166454,-58.46998,Real Data
1.3555014,-20.380352,Real Data
21.074184,-3.9842994,Real Data
9.427246,39.556847,Real Data
12.41456,-35.37144,Real Data
17.73626,-1.8050344,Real Data
-15.495231,25.302586,Real Data
-67.77286,-16.400684,Real Data
41.35853,43.638836,Real Data
-55.53248,-6.568671,Real Data
-77.3145,-21.427826,Real Data
-16.031017,-21.023424,Real Data
-30.43146,-38.201088,Real Data
-26.192743,15.05196,Real Data
-1.3354988,-6.7881556,Real Data
4.122238,21.432383,Real Data
-26.551838,2.660701,Real Data
62.5396,27.027622,Real Data
-6.526228,23.603035,Real Data
-14.030209,29.24792,Real Data
57.546738,17.965862,Real Data
37.641125,20.212683,Real Data
36.322216,30.929342,Real Data
-51.178898,-7.45176,Real Data
50.34552,-8.227082,Real Data
-24.305841,6.3916807,Real Data
-10.67531,-39.332478,Real Data
-0.7011089,-23.820267,Real Data
38.94061,3.7150123,Real Data
-38.2268,0.702794,Real Data
-0.053147938,-63.547688,Real Data
2.3109803,28.943386,Real Data
-50.61454,-18.53759,Real Data
21.91674,11.791857,Real Data
6.593261,-49.479774,Real Data
-23.355997,16.05303,Real Data
46.943382,5.61529,Real Data
59.83018,24.101612,Real Data
26.58782,-8.27467,Real Data
27.351425,-5.0318904,Real Data
-1.8158975,-26.161877,Real Data
55.701115,31.298958,Real Data
68.68048,24.169018,Real Data
-3.1058855,35.730587,Real Data
-62.671387,-13.235352,Real Data
-17.19586,-40.935093,Real Data
-46.685204,-42.139458,Real Data
32.504234,55.208202,Real Data
59.107018,-13.064012,Real Data
-25.28257,-9.036853,Real Data
-37.536022,-3.0550776,Real Data
50.028797,-27.82349,Real Data
-0.8105804,-19.674261,Real Data
-37.593975,26.791025,Real Data
-43.025105,-2.6805823,Real Data
55.87033,23.127163,Real Data
-25.109745,43.52245,Real Data
-44.193096,6.308583,Real Data
3.6915417,32.360794,Real Data
19.1623,9.797225,Real Data
27.127148,5.5193644,Real Data
-6.3752136,-30.948875,Real Data
7.7110133,8.249571,Real Data
0.29138768,8.595578,Real Data
38.683655,42.235603,Real Data
-20.128336,-15.644014,Real Data
8.815902,-46.81525,Real Data
-17.675049,-45.28162,Real Data
-13.500265,-20.64448,Real Data
-1.8031747,-37.48127,Real Data
-10.070632,-1.151972,Real Data
-8.234731,-17.56134,Real Data
-0.2130439,-29.753616,Real Data
-18.01086,-36.483135,Real Data
-61.07337,-49.319656,Real Data
34.204308,9.430491,Real Data
-62.02665,-38.413242,Real Data
5.7799587,25.969303,Real Data
49.018906,0.2609079,Real Data
20.358297,20.406515,Real Data
-69.29838,-16.594507,Real Data
-16.370504,38.190327,Real Data
-15.309904,-4.644469,Real Data
-64.61329,-16.858583,Real Data
-10.778199,53.360397,Real Data
29.936302,43.993404,Real Data
19.134838,18.914984,Real Data
-11.268497,-27.97538,Real Data
-15.559182,-22.507101,Real Data
14.185717,3.04068,Real Data
6.9053445,-33.18116,Real Data
58.213573,27.21935,Real Data
-19.396643,-28.619501,Real Data
-17.330532,29.900478,Real Data
11.069607,25.148542,Real Data
-11.414358,6.9290576,Real Data
