dataset,real_rows,synthetic_rows,mean_abs_diff,std_abs_diff,rmse,max_abs_diff,signed_mean_diff,pearson_r
CHARLS,14912,14912,0.005991948079140572,0.009226692023492118,0.011001603859414748,0.04525597384284091,0.004850589812276201,0.9152624691802176
HRS,13090,13090,0.004393740884189048,0.006941118365675249,0.008214869635222985,0.027147333112703554,-0.0034156444710621587,0.976197186191178
SHARE,30068,30068,0.010197469388226481,0.016890850013091735,0.01973041297308744,0.09086823804361968,-0.000866008117580384,0.9188153064476482
